model,price,transmission,mileage,fuelType,tax,mpg,engineSize,brand,car_age
 A6,10.341290768556236,Automatic,7.530479995245536,Diesel,145.0,47.9,2.0,Audi,1.0986122886681098
 Q7,10.515356887954205,Semi-Auto,2.3978952727983707,Diesel,145.0,33.2,3.0,Audi,0.6931471805599453
 RS6,10.515356887954205,Semi-Auto,10.800615852145526,Petrol,175.0,29.4,3.2,Audi,1.791759469228055
 A4,10.274568233782462,Semi-Auto,6.932447891572509,Petrol,145.0,38.7,2.0,Audi,1.0986122886681098
 A4,10.126070946991774,Semi-Auto,6.1070228877422545,Petrol,145.0,39.8,2.0,Audi,1.0986122886681098
 A4,10.203073491990732,Semi-Auto,6.1675164908883415,Petrol,145.0,39.2,2.0,Audi,1.0986122886681098
 A7,10.515356887954205,Automatic,8.556798446008598,Diesel,145.0,38.7,3.0,Audi,1.0986122886681098
 A3,9.998161166138809,Semi-Auto,7.615298339825815,Petrol,145.0,42.2,1.5,Audi,1.0986122886681098
 A6,10.515356887954205,Automatic,8.08394570229562,Diesel,145.0,39.2,3.0,Audi,1.0986122886681098
 Q5,10.433703954094051,Automatic,5.87493073085203,Diesel,145.0,39.2,2.0,Audi,1.0986122886681098
 A5,10.274568233782462,Automatic,2.9444389791664403,Petrol,145.0,39.8,2.0,Audi,1.0986122886681098
 A3,10.308485885054848,Automatic,8.046549357283078,Petrol,145.0,41.5,1.5,Audi,1.0986122886681098
 Q2,10.274568233782462,Manual,6.715383386334681,Petrol,145.0,40.9,1.5,Audi,1.0986122886681098
 A6,10.373053586050816,Semi-Auto,7.941651252930556,Diesel,145.0,47.9,2.0,Audi,1.0986122886681098
 A6,10.373053586050816,Semi-Auto,3.332204510175204,Diesel,145.0,50.4,2.0,Audi,1.0986122886681098
 A4,10.291670853409766,Semi-Auto,8.355850041007475,Petrol,145.0,38.2,2.0,Audi,1.0986122886681098
 A1,9.79734895647446,Semi-Auto,7.720017940432244,Petrol,145.0,48.7,1.0,Audi,1.0986122886681098
 Q2,9.951610827717856,Automatic,8.138272638530186,Diesel,145.0,47.9,1.6,Audi,1.0986122886681098
 Q2,10.07263943528144,Automatic,3.6375861597263857,Diesel,145.0,47.9,1.6,Audi,1.0986122886681098
